id,agent,gaze,valence,rt,correct
670,human,closed,positive,765.4199999999983,1
670,robot,closed,positive,614.1600000000035,1
670,human,closed,negative,654.9799999999959,1
670,human,open,negative,635.3600000000006,1
670,human,open,negative,628.8600000000006,1
670,human,open,positive,777.6199999999953,1
670,human,closed,positive,863.4199999999983,1
670,human,closed,negative,1011.2200000000012,1
670,human,closed,positive,827.4199999999983,1
670,robot,open,positive,1751.0599999999977,1
670,robot,open,negative,729.3399999999965,1
670,robot,closed,positive,719.6000000000058,1
670,robot,open,positive,652.679999999993,1
670,robot,closed,positive,760.5399999999936,1
670,human,closed,positive,506.3600000000006,1
670,robot,closed,negative,646.6199999999953,1
670,robot,open,negative,621.5400000000081,1
670,human,open,positive,804.7399999999907,1
670,human,closed,negative,707.2000000000116,1
670,robot,open,negative,602.7399999999907,1
670,human,open,positive,647.1199999999953,1
670,robot,open,positive,700.5599999999977,1
670,human,closed,negative,578.1600000000035,1
670,robot,open,positive,673.320000000007,1
670,human,open,positive,926.9200000000128,1
670,human,open,negative,825.2399999999907,1
670,robot,closed,positive,599.8999999999942,1
670,robot,open,negative,977.9200000000128,1
670,robot,closed,negative,776.5599999999977,1
670,robot,closed,negative,654.5400000000081,1
670,human,closed,negative,677.859999999986,1
670,human,open,negative,621.7399999999907,1
670,robot,open,negative,563.2999999999884,1
670,robot,open,negative,624.6600000000035,1
670,human,open,negative,561.859999999986,1
670,robot,closed,positive,600.2000000000116,1
670,human,open,positive,626.5199999999895,1
670,human,closed,positive,619.0199999999895,1
670,human,open,negative,600.6000000000058,1
670,human,closed,negative,681.640000000014,1
670,robot,closed,negative,555.3399999999965,1
670,human,open,negative,770.7799999999988,1
670,human,open,positive,630.8399999999965,1
670,robot,open,positive,576.5199999999895,1
670,robot,open,negative,612.6600000000035,1
670,robot,closed,positive,685.679999999993,1
670,robot,closed,negative,705.1199999999953,1
670,robot,open,positive,1267.1600000000035,1
670,human,closed,positive,890.6000000000058,1
670,robot,closed,positive,743.359999999986,1
670,human,closed,negative,663.320000000007,1
670,robot,closed,negative,638.9599999999919,1
670,robot,closed,negative,712.2399999999907,1
670,robot,open,positive,734.1600000000035,1
670,human,open,positive,659.0400000000081,1
670,robot,open,positive,664.3800000000047,1
670,robot,closed,negative,890,1
670,human,closed,positive,608.140000000014,1
670,human,open,positive,558.320000000007,1
