id,event,time_end,text
670,Welcome,5170,NA
670,Participant Info and Consent,15081,NA
670,Demographic_questions,25453,yes
670,Instruction,35782,NA
670,Fixation,36329.7,NA
670,Prime,36529.68,NA
670,Blank,36629.76,NA
670,Word,37260,NA
670,ISI,38296.36,NA
670,Sequence,38296.36,NA
670,Fixation,38795.66,NA
670,Prime,38996.32,NA
670,Blank,39096.36,NA
670,Word,39807,NA
670,ISI,40829.64,NA
670,Sequence,40829.64,NA
670,Fixation,41352.44,NA
670,Prime,41552,NA
670,Blank,41653.08,NA
670,Word,42330,NA
670,ISI,43369.64,NA
670,Sequence,43369.64,NA
670,Fixation,43886.28,NA
670,Prime,44086.32,NA
670,Blank,44185.42,NA
670,Word,44807,NA
670,ISI,45836.3,NA
670,Sequence,45836.3,NA
670,Fixation,46342.36,NA
670,Prime,46542.42,NA
670,Blank,46659.98,NA
670,Word,47409,NA
670,ISI,48443.44,NA
670,Sequence,48443.44,NA
670,Fixation,48960.06,NA
670,Prime,49160.08,NA
670,Blank,49260.04,NA
670,Word,50007,NA
670,ISI,51026.7,NA
670,Sequence,51026.7,NA
670,Fixation,51534.58,NA
670,Prime,51751.44,NA
670,Blank,51851.46,NA
670,Word,52456,NA
670,ISI,53484.78,NA
670,Sequence,53484.78,NA
670,Fixation,53984.74,NA
670,Prime,54184.74,NA
670,Blank,54301.02,NA
670,Word,54958,NA
670,ISI,55984.84,NA
670,Sequence,55984.84,NA
670,Fixation,56500.46,NA
670,Prime,56693.96,NA
670,Blank,56792.94,NA
670,Word,57329,NA
670,ISI,58358.98,NA
670,Sequence,58358.98,NA
670,Fixation,58858.98,NA
670,Prime,59075.6,NA
670,Blank,59175.58,NA
670,Word,59795,NA
670,ISI,60824.86,NA
670,Sequence,60824.86,NA
670,Fixation,61325.62,NA
670,Prime,61525.62,NA
670,Blank,61631.48,NA
670,Word,62225,NA
670,ISI,63249.1,NA
670,Sequence,63249.1,NA
670,Fixation,63748.14,NA
670,Prime,63949.12,NA
670,Blank,64049.08,NA
670,Word,64615,NA
670,ISI,65649.02,NA
670,Sequence,65649.02,NA
670,Practice Trials,65649.02,NA
670,Frame Practice,65651,NA
670,Instruction,92104,NA
670,Fixation,92650.54,NA
670,Prime,92866.98,NA
670,Blank,92967.18,NA
670,Word,93749,NA
670,ISI,94773.88,NA
670,Trial,94773.88,NA
670,Fixation,95273.86,NA
670,Prime,95473.82,NA
670,Blank,95573.88,NA
670,Word,96204,NA
670,ISI,97223.78,NA
670,Trial,97223.78,NA
670,Fixation,97739.52,NA
670,Prime,97940.42,NA
670,Blank,98039.4,NA
670,Word,98712,NA
670,ISI,99740.42,NA
670,Trial,99740.42,NA
670,Fixation,100248.28,NA
670,Prime,100464.98,NA
670,Blank,100565.02,NA
670,Word,101217,NA
670,ISI,102248.32,NA
670,Trial,102248.32,NA
670,Fixation,102748.28,NA
670,Prime,102947.28,NA
670,Blank,103048.28,NA
670,Word,103693,NA
670,ISI,104714.94,NA
670,Trial,104714.94,NA
670,Fixation,105214.94,NA
670,Prime,105407.2,NA
670,Blank,105506.84,NA
670,Word,106301,NA
670,ISI,107322.28,NA
670,Trial,107322.28,NA
670,Fixation,107821.62,NA
670,Prime,108038.94,NA
670,Blank,108138.52,NA
670,Word,109019,NA
670,ISI,110038.96,NA
670,Trial,110038.96,NA
670,Fixation,110538.94,NA
670,Prime,110731.66,NA
670,Blank,110830.92,NA
670,Word,111859,NA
670,ISI,112879.92,NA
670,Trial,112879.92,NA
670,Fixation,113378.98,NA
670,Prime,113579.92,NA
670,Blank,113679.92,NA
670,Word,114524,NA
670,ISI,115546.56,NA
670,Trial,115546.56,NA
670,Fixation,116053.18,NA
670,Prime,116269.36,NA
670,Blank,116369.44,NA
670,Word,118154,NA
670,ISI,119187.04,NA
670,Trial,119187.04,NA
670,Fixation,119687.02,NA
670,Prime,119886.66,NA
670,Blank,119987.08,NA
670,Word,120732,NA
670,ISI,121761.74,NA
670,Trial,121761.74,NA
670,Fixation,122278.36,NA
670,Prime,122477.34,NA
670,Blank,122577.62,NA
670,Word,123314,NA
670,ISI,124343.98,NA
670,Trial,124343.98,NA
670,Fixation,124861.72,NA
670,Prime,125061.66,NA
670,Blank,125161.72,NA
670,Word,125831,NA
670,ISI,126868.84,NA
670,Trial,126868.84,NA
670,Fixation,127368.82,NA
670,Prime,127585.48,NA
670,Blank,127685.42,NA
670,Word,128462,NA
670,ISI,129485.26,NA
670,Trial,129485.26,NA
670,Fixation,129985.46,NA
670,Prime,130185.46,NA
670,Blank,130285.28,NA
670,Word,130824,NA
670,ISI,131859.16,NA
670,Trial,131859.16,NA
670,Fixation,132359.14,NA
670,Prime,132559.28,NA
670,Blank,132659.12,NA
670,Word,133322,NA
670,ISI,134342.48,NA
670,Trial,134342.48,NA
670,Fixation,134842.44,NA
670,Prime,135059.14,NA
670,Blank,135159.16,NA
670,Word,135797,NA
670,ISI,136825.04,NA
670,Trial,136825.04,NA
670,Fixation,137316.6,NA
670,Prime,137516.68,NA
670,Blank,137633.34,NA
670,Word,138471,NA
670,ISI,139499.94,NA
670,Trial,139499.94,NA
670,Fixation,140000,NA
670,Prime,140199.94,NA
670,Blank,140299.98,NA
670,Word,141040,NA
670,ISI,142066.56,NA
670,Trial,142066.56,NA
670,Fixation,142572.86,NA
670,Prime,142789.14,NA
670,Blank,142889.68,NA
670,Word,143509,NA
670,ISI,144539.52,NA
670,Trial,144539.52,NA
