sender,sender_type,sender_id,...4,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,consent,age,gender,German,response,response_action,image,word,correct,practice,correctResponse,intentional,selb,rational,intelligent,angstKI,vetrauenKI,ZerstoerungKI,BereicherungKI,ArbeitslosigkeitKI,comment,url.srid,meta.labjs_version,meta.location,meta.userAgent,meta.platform,meta.language,meta.locale,meta.timeZone,meta.timezoneOffset,meta.screen_width,meta.screen_height,meta.scroll_width,meta.scroll_height,meta.window_innerWidth,meta.window_innerHeight,meta.devicePixelRatio,meta.labjs_build.flavor,meta.labjs_build.commit,id,agent,gaze,word_valence
HRIES,html.Form,8_0,,form submission,34656.152000011294,1031046.100000036,1031033.467,1031066.758,1065722.9100000113,1065723.31999999,2020-10-21T10:01:42.144Z,1065741.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_1,,form submission,12476.699000037042,1065723.560000013,1065708.351,1065741.666,1078218.365000037,1078218.6700000311,2020-10-21T10:01:54.639Z,1078238.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_2,,form submission,17550.249000007287,1078218.990000023,1078205.332,1078238.631,1095788.8800000073,1095789.6300000139,2020-10-21T10:02:12.210Z,1095808.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_3,,form submission,11154.710000023479,1095789.7900000098,1095767.709,1095808.715,1106963.4250000236,1106963.8050000067,2020-10-21T10:02:23.384Z,1106981.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_4,,form submission,8222.298999997787,1106964.100000041,1106948.348,1106981.636,1115203.9349999977,1115204.235000012,2020-10-21T10:02:31.625Z,1115229.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_5,,form submission,9816.307000001892,1115204.475000035,1115196.877,1115229.628,1125045.935000002,1125046.5149999945,2020-10-21T10:02:41.466Z,1125060.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_6,,form submission,9211.991000012262,1125046.720000042,1125027.292,1125060.569,1134272.5600000122,1134272.8650000063,2020-10-21T10:02:50.692Z,1134291.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,6,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_7,,form submission,15687.651000042213,1134273.04,1134258.323,1134291.669,1149979.3200000422,1149979.6400000341,2020-10-21T10:03:06.399Z,1150004.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_8,,form submission,12190.187000028556,1149979.8300000257,1149971.194,1150004.533,1162194.7200000286,1162195.0550000183,2020-10-21T10:03:18.614Z,1162218.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_9,,form submission,9841.097000042675,1162195.234999992,1162184.908,1162218.198,1172059.2950000428,1172059.6350000123,2020-10-21T10:03:28.479Z,1172082.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
